set	category	size	url	local_path	rationale
dv-feature	dv	52446208	https://downloads.openmicroscopy.org/images/DV/U2OS/U2OS_AurB_AurA_100x_001_R3D.dv	external-fixtures/data/dv/downloads.openmicroscopy.org/U2OS/U2OS_AurB_AurA_100x_001_R3D.dv	Moderate-size public files for broader format feature coverage.
dv-feature	dv	52446208	https://downloads.openmicroscopy.org/images/DV/U2OS/U2OS_AurB_AurA_100x_001_R3D_D3D.dv	external-fixtures/data/dv/downloads.openmicroscopy.org/U2OS/U2OS_AurB_AurA_100x_001_R3D_D3D.dv	Moderate-size public files for broader format feature coverage.
dv-feature	dv	52446208	https://downloads.openmicroscopy.org/images/DV/U2OS/U2OS_AurB_AurA_100x_002_R3D.dv	external-fixtures/data/dv/downloads.openmicroscopy.org/U2OS/U2OS_AurB_AurA_100x_002_R3D.dv	Moderate-size public files for broader format feature coverage.
dv-feature	dv	52446208	https://downloads.openmicroscopy.org/images/DV/U2OS/U2OS_AurB_AurA_100x_002_R3D_D3D.dv	external-fixtures/data/dv/downloads.openmicroscopy.org/U2OS/U2OS_AurB_AurA_100x_002_R3D_D3D.dv	Moderate-size public files for broader format feature coverage.
dv-feature	dv	52446208	https://downloads.openmicroscopy.org/images/DV/U2OS/U2OS_AurB_AurA_100x_003_R3D.dv	external-fixtures/data/dv/downloads.openmicroscopy.org/U2OS/U2OS_AurB_AurA_100x_003_R3D.dv	Moderate-size public files for broader format feature coverage.
ecat7-smoke	ecat7	5244416	https://downloads.openmicroscopy.org/images/ECAT7/torsten/gradient-512x512x10.v	external-fixtures/data/ecat7/downloads.openmicroscopy.org/torsten/gradient-512x512x10.v	Smallest public files for fast external smoke coverage.
flex-smoke	flex	91651181	https://downloads.openmicroscopy.org/images/Flex/idr0001/X_110331_S13/Meas_01%282011-03-31_11-53-03%29/001001000.flex	external-fixtures/data/flex/downloads.openmicroscopy.org/idr0001/X_110331_S13/Meas_01%282011-03-31_11-53-03%29/001001000.flex	Smallest public files for fast external smoke coverage.
flex-smoke	flex	91651181	https://downloads.openmicroscopy.org/images/Flex/idr0001/X_110331_S13/Meas_01%282011-03-31_11-53-03%29/002001000.flex	external-fixtures/data/flex/downloads.openmicroscopy.org/idr0001/X_110331_S13/Meas_01%282011-03-31_11-53-03%29/002001000.flex	Smallest public files for fast external smoke coverage.
flex-feature	flex	91651181	https://downloads.openmicroscopy.org/images/Flex/idr0001/X_110331_S13/Meas_01%282011-03-31_11-53-03%29/001001000.flex	external-fixtures/data/flex/downloads.openmicroscopy.org/idr0001/X_110331_S13/Meas_01%282011-03-31_11-53-03%29/001001000.flex	Moderate-size public files for broader format feature coverage.
flex-feature	flex	91651181	https://downloads.openmicroscopy.org/images/Flex/idr0001/X_110331_S13/Meas_01%282011-03-31_11-53-03%29/002001000.flex	external-fixtures/data/flex/downloads.openmicroscopy.org/idr0001/X_110331_S13/Meas_01%282011-03-31_11-53-03%29/002001000.flex	Moderate-size public files for broader format feature coverage.
flex-feature	flex	91651213	https://downloads.openmicroscopy.org/images/Flex/idr0001/X_110331_S13/Meas_01%282011-03-31_11-53-03%29/001002000.flex	external-fixtures/data/flex/downloads.openmicroscopy.org/idr0001/X_110331_S13/Meas_01%282011-03-31_11-53-03%29/001002000.flex	Moderate-size public files for broader format feature coverage.
